Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Transcript count	Gene type
ENSG00000301263	12	3200192	3201353		1	lncRNA
ENSG00000227081	12	3211663	3211917	RPS27P3	1	processed_pseudogene
ENSG00000301277	12	3230013	3230963		1	lncRNA
ENSG00000291189	12	3296202	3366585		83	lncRNA
ENSG00000250770	12	3298210	3337202		1	transcribed_unprocessed_pseudogene
ENSG00000236908	12	3300084	3325343	LINC02827	13	lncRNA
ENSG00000257048	12	3366232	3371613	LINC02417	5	lncRNA
ENSG00000111218	12	3381349	3593973	PRMT8	4	protein_coding
ENSG00000290204	12	3439854	3461445		2	lncRNA
ENSG00000256691	12	3462718	3463586		1	lncRNA
ENSG00000243507	12	3468950	3469296		1	transcribed_processed_pseudogene
ENSG00000287243	12	3483714	3492819	THCAT155	3	lncRNA
ENSG00000296676	12	3492825	3493646		1	lncRNA
ENSG00000130038	12	3606633	3764819	CRACR2A	6	protein_coding
ENSG00000280202	12	3610307	3612003		1	TEC
ENSG00000222338	12	3726222	3726327	RNU6-174P	1	snRNA
ENSG00000283138	12	3752518	3757842		2	lncRNA
ENSG00000111224	12	3791047	3873448	PARP11	8	protein_coding
ENSG00000118976	12	3839459	3842525	OTUD4P1	1	processed_pseudogene
ENSG00000256862	12	3871542	3916616	PARP11-AS1	10	lncRNA
ENSG00000305873	12	3872183	3873115		1	lncRNA
ENSG00000288729	12	3874655	3958713		22	lncRNA
ENSG00000310182	12	3967769	3969060		1	lncRNA
ENSG00000298675	12	3997367	3999645		3	lncRNA
ENSG00000256969	12	4012609	4026658		7	lncRNA
ENSG00000308279	12	4031431	4074849		2	lncRNA
ENSG00000256356	12	4097451	4099519	HSPA8P5	1	processed_pseudogene
ENSG00000293068	12	4109481	4135599		3	lncRNA
ENSG00000242444	12	4109661	4110215		1	transcribed_processed_pseudogene
ENSG00000294684	12	4173016	4204045		5	lncRNA
ENSG00000289105	12	4204099	4213793		6	lncRNA
ENSG00000294992	12	4209283	4211663		1	lncRNA
ENSG00000298123	12	4222806	4228518		5	lncRNA
ENSG00000298091	12	4228260	4265617		2	lncRNA
ENSG00000255920	12	4247981	4276265	CCND2-AS1	17	lncRNA
ENSG00000118971	12	4269771	4305353	CCND2	8	protein_coding
ENSG00000285901	12	4273762	4405490		2	protein_coding
ENSG00000290063	12	4275562	4275755		1	lncRNA
ENSG00000296658	12	4307496	4308750		1	lncRNA
ENSG00000078237	12	4307763	4360028	TIGAR	4	protein_coding
ENSG00000305724	12	4320370	4320949		1	lncRNA
ENSG00000293166	12	4323724	4324591		1	lncRNA
ENSG00000213970	12	4324372	4324811		1	transcribed_processed_pseudogene
ENSG00000118972	12	4368227	4379712	FGF23	2	protein_coding
ENSG00000308551	12	4415328	4481231		2	lncRNA
ENSG00000111241	12	4428155	4445815	FGF6	3	protein_coding
ENSG00000047621	12	4487735	4538508	FERRY3	9	protein_coding
ENSG00000111247	12	4538798	4560047	RAD51AP1	14	protein_coding
ENSG00000010219	12	4562208	4615302	DYRK4	17	protein_coding
ENSG00000256748	12	4601991	4603420		1	processed_pseudogene
ENSG00000272921	12	4604944	4662643		1	protein_coding
ENSG00000111254	12	4615508	4649051	AKAP3	6	protein_coding
ENSG00000256799	12	4635349	4636140		1	processed_pseudogene
ENSG00000256381	12	4645496	4648027		1	lncRNA
ENSG00000139180	12	4649095	4694317	NDUFA9	9	protein_coding
ENSG00000255639	12	4649101	4774184		3	protein_coding
ENSG00000255474	12	4700417	4720102	GAU1	1	lncRNA
ENSG00000130035	12	4720400	4851927	GALNT8	5	protein_coding
ENSG00000256988	12	4804499	4830747		3	lncRNA
ENSG00000151079	12	4809334	4813318	KCNA6	1	protein_coding
ENSG00000255608	12	4838955	4842675		1	lncRNA
ENSG00000297718	12	4845272	4856930		1	lncRNA
ENSG00000286866	12	4857127	4859904		1	lncRNA
ENSG00000287835	12	4881387	4910225		2	lncRNA
ENSG00000256654	12	4909867	5026012		21	lncRNA
ENSG00000111262	12	4909905	4918256	KCNA1	4	protein_coding
ENSG00000284513	12	4956184	4969565		6	lncRNA
ENSG00000255996	12	5032388	5032941		1	processed_pseudogene
ENSG00000130037	12	5043879	5046788	KCNA5	1	protein_coding
ENSG00000307076	12	5046689	5052104		1	lncRNA
ENSG00000285523	12	5088002	5092742		2	lncRNA
ENSG00000256417	12	5121942	5383653		28	lncRNA
ENSG00000302897	12	5187329	5201994		4	lncRNA
ENSG00000256115	12	5226196	5290968	LINC02443	42	lncRNA
ENSG00000256146	12	5315961	5319347		1	lncRNA
ENSG00000256218	12	5366038	5431613		10	lncRNA
ENSG00000255983	12	5388589	5406651		1	lncRNA
ENSG00000302923	12	5430158	5431696		1	lncRNA
ENSG00000185652	12	5432108	5521536	NTF3	6	protein_coding
ENSG00000294289	12	5506115	5507810		1	lncRNA
ENSG00000047617	12	5531869	5946232	ANO2	11	protein_coding
ENSG00000296497	12	5577979	5578892		1	lncRNA
ENSG00000255973	12	5583797	5584085		1	processed_pseudogene
ENSG00000303152	12	5720907	5727434		1	lncRNA
ENSG00000110799	12	5948877	6124770	VWF	9	protein_coding
ENSG00000240533	12	6095699	6095970	RN7SL69P	1	misc_RNA
ENSG00000294938	12	6133574	6134188		1	lncRNA
ENSG00000255775	12	6149752	6200644		5	lncRNA
ENSG00000305481	12	6160304	6160923		1	lncRNA
ENSG00000305460	12	6171891	6172770		1	lncRNA
ENSG00000305431	12	6182530	6189614		1	lncRNA
ENSG00000010278	12	6199715	6238271	CD9	25	protein_coding
ENSG00000305396	12	6223846	6295418		4	lncRNA
ENSG00000202318	12	6234345	6234455	Y_RNA	1	misc_RNA
ENSG00000256103	12	6270168	6270425	ATP5MFP5	1	processed_pseudogene
ENSG00000305449	12	6278308	6282823		2	lncRNA
ENSG00000295022	12	6295447	6296549		1	lncRNA
ENSG00000008323	12	6310436	6328506	PLEKHG6	10	protein_coding
ENSG00000067182	12	6328757	6342114	TNFRSF1A	18	protein_coding
ENSG00000265388	12	6344554	6344837	RN7SL391P	1	misc_RNA
ENSG00000111319	12	6346843	6377730	SCNN1A	23	protein_coding
ENSG00000111321	12	6375045	6391571	LTBR	15	protein_coding
ENSG00000256433	12	6393879	6396148		2	lncRNA
ENSG00000213942	12	6409637	6410013	RPL31P10	1	processed_pseudogene
ENSG00000224906	12	6438498	6438852	SRP14P1	1	processed_pseudogene
ENSG00000215039	12	6439001	6452092	CD27-AS1	36	lncRNA
ENSG00000139193	12	6444955	6451718	CD27	2	protein_coding
ENSG00000139192	12	6451690	6466517	TAPBPL	8	protein_coding
ENSG00000139190	12	6462237	6470677	VAMP1	8	protein_coding
ENSG00000276718	12	6466537	6467135	VAMP1-AS1	1	lncRNA
ENSG00000256913	12	6477714	6480207		1	processed_pseudogene
ENSG00000111639	12	6491886	6493841	MRPL51	7	protein_coding
ENSG00000010292	12	6493356	6531955	NCAPD2	13	protein_coding
ENSG00000239002	12	6510222	6510551	SCARNA10	1	snoRNA
ENSG00000276232	12	6510275	6510522		1	lncRNA
ENSG00000255966	12	6525540	6533869	GAPDH-DT	7	lncRNA
ENSG00000295772	12	6532804	6533304		1	lncRNA
ENSG00000111640	12	6534512	6538374	GAPDH	11	protein_coding
ENSG00000269968	12	6537794	6538371		4	lncRNA
ENSG00000010295	12	6538961	6556073	IFFO1	10	protein_coding
ENSG00000245667	12	6543504	6544931		1	lncRNA
ENSG00000111641	12	6556863	6568691	NOP2	21	protein_coding
ENSG00000285238	12	6556886	6607367		2	protein_coding
ENSG00000111642	12	6570082	6614524	CHD4	54	protein_coding
ENSG00000247853	12	6578622	6584739		1	lncRNA
ENSG00000251898	12	6581474	6581609	SCARNA11	1	scaRNA
ENSG00000301109	12	6606515	6627190		16	lncRNA
ENSG00000301135	12	6613251	6613564		1	lncRNA
ENSG00000184574	12	6618835	6635960	LPAR5	3	protein_coding
ENSG00000111644	12	6638075	6647433	ACRBP	9	protein_coding
ENSG00000111653	12	6650301	6663142	ING4	18	protein_coding
ENSG00000219410	12	6663260	6672069		1	lncRNA
ENSG00000126746	12	6666477	6689572	ZNF384	18	protein_coding
ENSG00000289303	12	6689516	6697086		3	lncRNA
ENSG00000300994	12	6692181	6692963		1	lncRNA
ENSG00000139200	12	6693791	6700815	PIANP	6	protein_coding
ENSG00000300918	12	6698495	6723890		5	lncRNA
ENSG00000252186	12	6709452	6709552	RNU6-781P	1	snRNA
ENSG00000288814	12	6722904	6723972		1	lncRNA
ENSG00000270068	12	6723233	6723687		1	lncRNA
ENSG00000111652	12	6724014	6731875	COPS7A	22	protein_coding
ENSG00000269892	12	6742985	6743641		1	lncRNA
ENSG00000089693	12	6747996	6767475	MLF2	10	protein_coding
ENSG00000159335	12	6765516	6770952	PTMS	5	protein_coding
ENSG00000089692	12	6772512	6778455	LAG3	4	protein_coding
ENSG00000297457	12	6780075	6786983		1	lncRNA
ENSG00000244532	12	6783854	6784161	RN7SL380P	1	misc_RNA
ENSG00000010610	12	6786858	6820799	CD4	12	protein_coding
ENSG00000250510	12	6821624	6829972	GPR162	7	protein_coding
ENSG00000110811	12	6828407	6839847	P3H3	11	protein_coding
ENSG00000111664	12	6839954	6847393	GNB3	10	protein_coding
ENSG00000111665	12	6844793	6851292	CDCA3	12	protein_coding
ENSG00000111667	12	6852148	6866632	USP5	7	protein_coding
ENSG00000111669	12	6867119	6870948	TPI1	10	protein_coding
ENSG00000111671	12	6870935	6889358	SPSB2	5	protein_coding
ENSG00000293161	12	6873389	6884741		4	lncRNA
ENSG00000010626	12	6873569	6914241	LRRC23	15	protein_coding
ENSG00000240370	12	6883996	6884613	RPL13P5	1	transcribed_processed_pseudogene
ENSG00000290712	12	6884682	6885786	DSTNP2	1	lncRNA
ENSG00000248593	12	6884898	6885684	DSTNP2	1	transcribed_unprocessed_pseudogene
ENSG00000275703	12	6899752	6900212		1	lncRNA
ENSG00000111674	12	6913745	6923698	ENO2	14	protein_coding
ENSG00000293728	12	6922530	6927629		2	lncRNA
ENSG00000111676	12	6924463	6942321	ATN1	4	protein_coding
ENSG00000111678	12	6942978	6946003	C12orf57	7	protein_coding
ENSG00000272173	12	6943503	6944723		1	lncRNA
ENSG00000238923	12	6943816	6943878	RNU7-1	1	snRNA
ENSG00000111679	12	6946468	6961316	PTPN6	23	protein_coding
ENSG00000295827	12	6961588	6963110		6	lncRNA
ENSG00000257084	12	6962024	6964458	MIR200CHG	8	lncRNA
ENSG00000207713	12	6963699	6963766	MIR200C	1	miRNA
ENSG00000207708	12	6964097	6964191	MIR141	1	miRNA
ENSG00000271969	12	6964949	6965382		1	lncRNA
ENSG00000215021	12	6965327	6970780	PHB2	20	protein_coding
ENSG00000238795	12	6967337	6967606	SCARNA12	1	snoRNA
ENSG00000126749	12	6970913	6979936	EMG1	4	protein_coding
ENSG00000290146	12	6970921	6997428		2	protein_coding
ENSG00000111684	12	6976185	7018477	LPCAT3	13	protein_coding
ENSG00000182326	12	6988259	7071032	C1S	23	protein_coding
ENSG00000295785	12	6999278	7006558		1	lncRNA
ENSG00000295846	12	7018165	7019367		1	lncRNA
ENSG00000239701	12	7032108	7032398		1	processed_pseudogene
ENSG00000302800	12	7038365	7039123		1	lncRNA
ENSG00000257078	12	7041156	7041641		1	processed_pseudogene
ENSG00000159403	12	7080214	7092540	C1R	16	protein_coding
ENSG00000139178	12	7089587	7109238	C1RL	12	protein_coding
ENSG00000205885	12	7107990	7122849	C1RL-AS1	27	lncRNA
ENSG00000139194	12	7115736	7128889	RBP5	5	protein_coding
ENSG00000200345	12	7118785	7118891	RNU6-485P	1	snRNA
ENSG00000256967	12	7129079	7131257		4	lncRNA
ENSG00000139182	12	7129698	7158945	CLSTN3	16	protein_coding
ENSG00000285770	12	7146482	7147817		1	lncRNA
ENSG00000255572	12	7166674	7189069		2	lncRNA
ENSG00000139197	12	7188685	7218574	PEX5	21	protein_coding
ENSG00000256480	12	7237432	7240986		1	processed_pseudogene
ENSG00000299889	12	7303172	7317127		1	lncRNA
ENSG00000215009	12	7304072	7328719	ACSM4	2	protein_coding
ENSG00000298994	12	7338830	7341933		3	lncRNA
ENSG00000177675	12	7346685	7479897	CD163L1	10	protein_coding
ENSG00000255836	12	7438780	7439990		1	processed_pseudogene
ENSG00000177575	12	7470811	7503893	CD163	11	protein_coding
ENSG00000290059	12	7493221	7494705		1	lncRNA
ENSG00000235868	12	7566369	7567382	GAPDHP31	1	processed_pseudogene
ENSG00000303381	12	7604281	7640291		9	lncRNA
ENSG00000256331	12	7604350	7605214	NIFKP3	1	transcribed_processed_pseudogene
ENSG00000255977	12	7606834	7607331		1	processed_pseudogene
ENSG00000284327	12	7619872	7620260		1	processed_pseudogene
ENSG00000284591	12	7620542	7621450		1	processed_pseudogene
ENSG00000284522	12	7626103	7626486		1	processed_pseudogene
ENSG00000285142	12	7637396	7647086		1	unprocessed_pseudogene
ENSG00000111701	12	7649400	7665908	APOBEC1	2	protein_coding
ENSG00000184344	12	7689784	7695775	GDF3	1	protein_coding
ENSG00000187569	12	7711433	7717559	DPPA3	1	protein_coding
ENSG00000198178	12	7729383	7751605	CLEC4C	6	protein_coding
ENSG00000205857	12	7765216	7774121	NANOGNB	2	protein_coding
ENSG00000201549	12	7784403	7784511	Y_RNA	1	misc_RNA
ENSG00000111704	12	7787794	7799146	NANOG	4	protein_coding
ENSG00000199912	12	7800361	7800467	Y_RNA	1	misc_RNA
ENSG00000173262	12	7812512	7891148	SLC2A14	21	protein_coding
ENSG00000287713	12	7838914	7844863		3	lncRNA
ENSG00000201663	12	7850717	7850818	Y_RNA	1	misc_RNA
ENSG00000278459	12	7856169	7856471	Metazoa_SRP	1	misc_RNA
ENSG00000241828	12	7860437	7860764		1	processed_pseudogene
ENSG00000295410	12	7863017	7863668		1	lncRNA
ENSG00000255885	12	7870852	7871370		1	processed_pseudogene
ENSG00000297601	12	7882057	7882566		1	lncRNA
ENSG00000290484	12	7890776	7906105		2	lncRNA
ENSG00000176654	12	7892576	7898903	NANOGP1	1	transcribed_unprocessed_pseudogene
ENSG00000255356	12	7896608	7896956		1	processed_pseudogene
ENSG00000059804	12	7919230	8019007	SLC2A3	15	protein_coding
ENSG00000288043	12	7954216	7994074		6	lncRNA
ENSG00000294753	12	7960929	7961337		1	lncRNA
ENSG00000294711	12	7963614	7970751		3	lncRNA
ENSG00000206636	12	7976259	7976360	Y_RNA	1	misc_RNA
ENSG00000240739	12	7994770	7995084		1	unprocessed_pseudogene
ENSG00000255964	12	8015024	8016406	HSPD1P12	1	processed_pseudogene
ENSG00000255581	12	8017201	8017860		1	processed_pseudogene
ENSG00000294692	12	8018748	8027755		3	lncRNA
ENSG00000294731	12	8026326	8027169		4	lncRNA
ENSG00000065970	12	8032716	8055517	FOXJ2	3	protein_coding
ENSG00000171860	12	8056844	8066359	C3AR1	2	protein_coding
ENSG00000089818	12	8076939	8097881	NECAP1	27	protein_coding
ENSG00000279865	12	8080381	8082163		1	TEC
ENSG00000284697	12	8082269	8138548		2	lncRNA
ENSG00000111729	12	8123617	8138607	CLEC4A	5	protein_coding
ENSG00000235602	12	8133772	8134849	POU5F1P3	1	processed_pseudogene
ENSG00000284393	12	8138140	8175320		1	protein_coding
ENSG00000256171	12	8141168	8142697	GCSHP4	1	processed_pseudogene
ENSG00000196946	12	8157015	8188537	ZNF705A	4	protein_coding
ENSG00000226711	12	8180204	8226278	FAM66C	21	lncRNA
ENSG00000290939	12	8199456	8219318		1	lncRNA
ENSG00000244050	12	8199599	8206710	DEFB109F	1	transcribed_unprocessed_pseudogene
ENSG00000276417	12	8205984	8207397		1	lncRNA
ENSG00000275367	12	8217758	8221115		1	lncRNA
ENSG00000171847	12	8221260	8227618	FAM90A1	3	protein_coding
ENSG00000215241	12	8227280	8370233	LINC02449	105	lncRNA
ENSG00000254016	12	8227734	8231764	ALG1L10P	1	transcribed_unprocessed_pseudogene
ENSG00000290940	12	8231005	8243911	FAM86FP	103	lncRNA
ENSG00000164845	12	8232512	8242948	FAM86FP	1	transcribed_unprocessed_pseudogene
ENSG00000226091	12	8244845	8453161	LINC00937	96	lncRNA
ENSG00000256589	12	8254527	8308855	ENPP7P5	1	transcribed_unprocessed_pseudogene
ENSG00000277952	12	8340182	8340397		1	processed_pseudogene
ENSG00000242661	12	8359054	8359834	RPS3AP43	1	transcribed_processed_pseudogene
ENSG00000256552	12	8368992	8369360		1	transcribed_processed_pseudogene
ENSG00000296172	12	8389069	8396719		1	lncRNA
ENSG00000284687	12	8390270	8390488		1	transcribed_unprocessed_pseudogene
ENSG00000284673	12	8396423	8396641		1	transcribed_unprocessed_pseudogene
ENSG00000256136	12	8406833	8407195	VPS51P3	1	processed_pseudogene
ENSG00000238152	12	8414780	8415805	OR7E140P	1	unprocessed_pseudogene
ENSG00000214487	12	8427640	8428610	OR7E148P	1	unprocessed_pseudogene
ENSG00000177586	12	8437403	8438425	OR7E149P	1	unprocessed_pseudogene
ENSG00000205846	12	8455962	8478330	CLEC6A	1	protein_coding
ENSG00000243830	12	8460618	8461232	RPL15P17	1	processed_pseudogene
ENSG00000201780	12	8484746	8484852	RNU6-275P	1	snRNA
ENSG00000166527	12	8509475	8522366	CLEC4D	2	protein_coding
ENSG00000246115	12	8512374	8512726	SUPT4H1P2	1	processed_pseudogene
ENSG00000166523	12	8533305	8540905	CLEC4E	6	protein_coding
ENSG00000255801	12	8542747	8567952		6	lncRNA
ENSG00000297833	12	8564849	8566098		2	lncRNA
ENSG00000238943	12	8592476	8592585	Y_RNA	1	misc_RNA
ENSG00000252727	12	8597509	8597640		1	scaRNA
ENSG00000111732	12	8602155	8613242	AICDA	9	protein_coding
ENSG00000280345	12	8631545	8632259		1	TEC
ENSG00000255967	12	8634367	8637608	HADHAP2	1	processed_pseudogene
ENSG00000197614	12	8637346	8662888	MFAP5	15	protein_coding
ENSG00000255829	12	8664011	8669011		2	lncRNA
ENSG00000256004	12	8678773	8679670		1	processed_pseudogene
ENSG00000166532	12	8681600	8783095	RIMKLB	13	protein_coding
ENSG00000244131	12	8742428	8743072	RPSAP51	1	processed_pseudogene
ENSG00000256661	12	8776219	8830947	A2ML1-AS1	1	lncRNA
ENSG00000249790	12	8788215	8795790	LINC02972	5	lncRNA
ENSG00000301366	12	8805186	8821090		2	lncRNA
ENSG00000256904	12	8819816	8820713	A2ML1-AS2	1	lncRNA
ENSG00000166535	12	8822621	8887001	A2ML1	9	protein_coding
ENSG00000282022	12	8858143	8915276		1	lncRNA
ENSG00000111752	12	8913896	8941467	PHC1	14	protein_coding
ENSG00000003056	12	8940361	8949761	M6PR	13	protein_coding
ENSG00000139187	12	8950044	9010760	KLRG1	7	protein_coding
ENSG00000257105	12	8987175	8996566		1	lncRNA
ENSG00000213049	12	9027532	9029089	HNRNPA1P34	1	processed_pseudogene
ENSG00000255776	12	9036344	9037244	VDAC2P2	1	processed_pseudogene
ENSG00000214851	12	9055589	9066123	LINC00612	5	lncRNA
ENSG00000245105	12	9065163	9068689	A2M-AS1	6	lncRNA
ENSG00000175899	12	9067664	9116229	A2M	13	protein_coding
ENSG00000309149	12	9124989	9153554		3	lncRNA
ENSG00000309200	12	9125402	9128473		1	lncRNA
ENSG00000256937	12	9127783	9128645	KRT17P8	1	transcribed_processed_pseudogene
ENSG00000309236	12	9134388	9135498		3	lncRNA
ENSG00000256720	12	9135084	9135591	BTG1P1	1	transcribed_processed_pseudogene
ENSG00000237248	12	9144848	9261503	LINC00987	35	lncRNA
ENSG00000126838	12	9148840	9208395	PZP	7	protein_coding
ENSG00000256817	12	9155881	9156372	TPT1P12	1	processed_pseudogene
ENSG00000291190	12	9228533	9234207	A2MP1	1	lncRNA
ENSG00000256069	12	9229376	9275817	A2MP1	1	transcribed_unprocessed_pseudogene
ENSG00000309182	12	9235422	9241433		3	lncRNA
ENSG00000283429	12	9239467	9239551	MIR1244-3	1	miRNA
ENSG00000231503	12	9239986	9240331	PTMAP4	1	transcribed_processed_pseudogene
ENSG00000291254	12	9247656	9268113		2	lncRNA
ENSG00000111788	12	9277235	9313241	DDX12B	1	transcribed_unprocessed_pseudogene
ENSG00000295087	12	9283643	9299103		34	lncRNA
ENSG00000212440	12	9286673	9286822	SNORA75	1	snoRNA
ENSG00000299001	12	9303196	9313204		3	lncRNA
ENSG00000299022	12	9312239	9314088		3	lncRNA
ENSG00000255753	12	9314402	9316173		1	processed_pseudogene
ENSG00000294479	12	9319466	9319980		1	lncRNA
ENSG00000299983	12	9323836	9346981		3	lncRNA
ENSG00000300031	12	9325618	9340720		4	lncRNA
ENSG00000260423	12	9341059	9400387	LINC02367	19	lncRNA
ENSG00000300046	12	9364108	9367406		2	lncRNA
ENSG00000308602	12	9371767	9413645		35	lncRNA
ENSG00000256673	12	9398355	9414851		1	transcribed_unprocessed_pseudogene
ENSG00000308626	12	9407565	9408758		1	lncRNA
ENSG00000278635	12	9415641	9416718		1	unprocessed_pseudogene
ENSG00000295911	12	9417705	9418798		1	lncRNA
ENSG00000295896	12	9418576	9428629		4	lncRNA
ENSG00000214826	12	9418673	9448229	DDX12P	1	transcribed_unprocessed_pseudogene
ENSG00000295873	12	9418822	9449825		35	lncRNA
ENSG00000212432	12	9445058	9445205	SNORA75	1	snoRNA
ENSG00000284634	12	9447980	9662085		100	lncRNA
ENSG00000214776	12	9480608	9575695		1	transcribed_unprocessed_pseudogene
ENSG00000256975	12	9506347	9508440		1	processed_pseudogene
ENSG00000291289	12	9512756	9542687		1	lncRNA
ENSG00000290469	12	9557314	9576275		1	lncRNA
ENSG00000111796	12	9594551	9607916	KLRB1	1	protein_coding
ENSG00000212345	12	9624122	9624228	RNU6-700P	1	snRNA
ENSG00000233719	12	9641723	9643011	GOT2P3	1	transcribed_processed_pseudogene
ENSG00000256442	12	9647006	9648600		7	lncRNA
ENSG00000256594	12	9653683	9657043		1	transcribed_unprocessed_pseudogene
ENSG00000257027	12	9658567	9662085		1	lncRNA
ENSG00000069493	12	9664969	9699553	CLEC2D	16	protein_coding
ENSG00000213443	12	9695384	9696227	NPM1P7	1	processed_pseudogene
ENSG00000293488	12	9702182	9740383		6	lncRNA
ENSG00000256582	12	9704077	9709350	LINC02390	1	lncRNA
ENSG00000184293	12	9722644	9733030	CLECL1P	1	transcribed_unitary_pseudogene
ENSG00000295502	12	9738042	9739164		1	lncRNA
ENSG00000110848	12	9752486	9760901	CD69	4	protein_coding
ENSG00000256912	12	9817350	9818025	GCNAP1	1	processed_pseudogene
ENSG00000150045	12	9827481	9845007	KLRF1	8	protein_coding
ENSG00000110852	12	9852369	9869386	CLEC2B	4	protein_coding
ENSG00000255882	12	9867027	9869808		1	lncRNA
ENSG00000256797	12	9881489	9895833	KLRF2	1	protein_coding
ENSG00000188393	12	9898673	9932370	CLEC2A	2	protein_coding
ENSG00000225231	12	9936417	9943508	LINC02470	9	lncRNA
ENSG00000231560	12	9948137	9953336	CLEC12A-AS1	1	lncRNA
ENSG00000172322	12	9951316	9995694	CLEC12A	7	protein_coding
ENSG00000302552	12	9965313	9970403		1	lncRNA
ENSG00000165682	12	9985642	10013424	CLEC1B	4	protein_coding
ENSG00000290355	16	10661	14102	DDX11L16	39	lncRNA
ENSG00000233614	16	11861	13351	DDX11L10	1	transcribed_unprocessed_pseudogene
ENSG00000306644	16	14037	15703		6	lncRNA
ENSG00000234769	16	14381	18068	WASH4P	1	transcribed_unprocessed_pseudogene
ENSG00000260803	16	16125	35207		8	lncRNA
ENSG00000278739	16	17052	17119	MIR6859-4	1	miRNA
ENSG00000231439	16	22845	25191	WASIR2	3	lncRNA
ENSG00000226942	16	29336	38321	IL9RP3	1	transcribed_unprocessed_pseudogene
ENSG00000309539	16	35414	41462		1	lncRNA
ENSG00000161980	16	46407	53608	POLR3K	2	protein_coding
ENSG00000161981	16	53828	57669	SNRNP25	7	protein_coding
ENSG00000007384	16	58059	76355	RHBDF1	11	protein_coding
ENSG00000305760	16	72758	74990		1	lncRNA
ENSG00000278995	16	74683	74961		1	TEC
ENSG00000103152	16	77007	85851	MPG	5	protein_coding
ENSG00000103148	16	84271	138677	NPRL3	13	protein_coding
ENSG00000269482	16	90631	91102		1	lncRNA
ENSG00000228779	16	125737	127219		1	lncRNA
ENSG00000130656	16	142728	154503	HBZ	2	protein_coding
ENSG00000206177	16	153892	166764	HBM	3	protein_coding
ENSG00000206178	16	163122	165156	HBZP1	1	unprocessed_pseudogene
ENSG00000225323	16	168679	169334	HBAP1	1	unprocessed_pseudogene
ENSG00000294455	16	172875	173722		5	lncRNA
ENSG00000188536	16	172876	173710	HBA2	4	protein_coding
ENSG00000294481	16	175628	175963		1	lncRNA
ENSG00000294436	16	176679	177529		7	lncRNA
ENSG00000206172	16	176680	177522	HBA1	4	protein_coding
ENSG00000207243	16	178554	178656	Y_RNA	1	misc_RNA
ENSG00000086506	16	180459	181179	HBQ1	1	protein_coding
ENSG00000268836	16	185748	186294		1	lncRNA
ENSG00000007392	16	188969	229463	LUC7L	21	protein_coding
ENSG00000294416	16	229533	232029		1	lncRNA
ENSG00000294399	16	230188	235423		2	lncRNA
ENSG00000206168	16	231134	231472	C4orf46P1	1	transcribed_processed_pseudogene
ENSG00000167930	16	234521	272183	FAM234A	21	protein_coding
ENSG00000076344	16	268301	275980	RGS11	8	protein_coding
ENSG00000286901	16	268727	282084		2	lncRNA
ENSG00000242173	16	280450	283010	ARHGDIG	4	protein_coding
ENSG00000185615	16	283164	287215	PDIA2	7	protein_coding
ENSG00000103126	16	287440	352723	AXIN1	5	protein_coding
ENSG00000293702	16	353796	356575		3	lncRNA
ENSG00000293730	16	354817	355236		1	lncRNA
ENSG00000305325	16	360857	361713		2	lncRNA
ENSG00000086504	16	366969	371289	MRPL28	10	protein_coding
ENSG00000129925	16	370788	387113	PGAP6	8	protein_coding
ENSG00000293232	16	382097	392960		2	lncRNA
ENSG00000236829	16	386763	387233		1	transcribed_processed_pseudogene
ENSG00000103202	16	396725	410367	NME4	12	protein_coding
ENSG00000242612	16	401858	412487	DECR2	17	protein_coding
ENSG00000276984	16	424243	424543		1	lncRNA
ENSG00000090565	16	425649	523011	RAB11FIP3	11	protein_coding
ENSG00000201034	16	439297	439397	Y_RNA	1	misc_RNA
ENSG00000230428	16	451404	453461		1	transcribed_unprocessed_pseudogene
ENSG00000294851	16	491544	492658		1	lncRNA
ENSG00000277142	16	525155	527407	LINC00235	1	lncRNA
ENSG00000103326	16	527712	554636	CAPN15	8	protein_coding
ENSG00000266124	16	535316	535368	MIR5587	1	miRNA
ENSG00000266235	16	543277	543366	MIR3176	1	miRNA
ENSG00000261691	16	547185	553847		1	lncRNA
ENSG00000161992	16	560394	565529	PRR35	1	protein_coding
ENSG00000297509	16	565471	569840		1	lncRNA
ENSG00000007541	16	566995	584109	PIGQ	25	protein_coding
ENSG00000257108	16	567005	569495	NHLRC4	2	protein_coding
ENSG00000282907	16	568837	576257		2	lncRNA
ENSG00000197562	16	589357	629272	RAB40C	12	protein_coding
ENSG00000300130	16	589631	589819		1	lncRNA
ENSG00000127578	16	629239	634117	WFIKKN1	2	protein_coding
ENSG00000130731	16	634427	636366	METTL26	14	protein_coding
ENSG00000172366	16	636817	648474	MCRIP2	11	protein_coding
ENSG00000309654	16	639205	641778		1	lncRNA
ENSG00000228201	16	648457	649208		2	lncRNA
ENSG00000161996	16	649311	667833	WDR90	25	protein_coding
ENSG00000262528	16	654611	656194		1	lncRNA
ENSG00000140983	16	668100	674174	RHOT2	28	protein_coding
ENSG00000103269	16	675671	678268	RHBDL1	4	protein_coding
ENSG00000260394	16	678504	680324	STUB1-DT	15	lncRNA
ENSG00000279441	16	678645	679061		1	TEC
ENSG00000294321	16	679499	679944		1	lncRNA
ENSG00000103266	16	680224	682870	STUB1	11	protein_coding
